CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
0,1424.710041,1931.452582,102389187.2,4967458.646,84.03616176,59.01356058,81.74065417,487.6344144
2,2698.663039,1053.706,63677973.25,200072.4261,113372.6814,38312.86524,250.7149654,2.579867161
14,18974.72046,40834.51683,181916798.4,27133765.4,255814.3193,18271.38439,8.637378684,37.73261406
32,23085,478.4403894,31499485.39,13494653.77,153.423536,60.52552947,3157.221981,46.03652582
4,2367.790832,283.420619,536302108.7,4361940.491,15.95042192,35.61949155,8.366227084,342.5337932
16,8627.35766,4447.356735,63771911.79,8305477.531,523.758207,1921.224394,3.537833839,113.0340287
30,34816.75579,1724.800622,391083445.7,38530288.1,479.3466603,5211.365552,4.443121008,37.73250082
2,15517,14196.80647,1.46E+14,4150454.585,76.15621049,46258.20065,4884.034536,147.8750025
8,7689,7447.24079,1.46E+14,7151213.951,9730.628321,310427.5156,206.7465695,14566.26516
32,26033,20176.73122,47429590.11,4678844.393,822.2587094,456902.6664,1194.076497,792.0460067
32,2943.81281,5939.168671,154019969.8,389607.9992,43.01423086,149.0143169,4.918758211,460.9531324
2,86325.54859,24435.27137,427000000,642068245.5,53.95551539,82.24262503,907.3956656,170.1566654
14,2925.439106,399.3403632,536303042,27271431.97,41178.54603,46507.24508,204.9271462,44.3614545
12,1329.137845,756.947278,133152377,7061281.924,189.4778711,77.26987391,987.6790125,164.5394534
0,20847.85493,19718.87813,64662387.2,325707.8832,9071.814495,17.09922008,673.7136149,18.66290886
4,9922.088599,1294.27378,51920921.97,202856262.4,32.30212234,178.2610507,133.1687003,825.0621653
10,20599,43911.76469,51614003.09,5042699.973,0.755336466,20937.82924,1.739481656,1934.589312
4,86352.59942,40262.81625,106000000,7877.290587,88.23881411,62.80909111,473.7393993,17.65521142
3,26033,25460.92408,686986.9036,3268176.034,119.4428705,3571.42819,9681.42546,490.3495072
4,21776.77616,22180.94568,31829691.76,3914250.865,102.6923044,4.847374198,1600.330601,277.4617227
14,2367.790832,1903.551582,517000000,47771771.9,27722.21652,9695.456187,1290.496705,20.44808972
12,85927.21702,196.8490122,8842581.005,3591157.769,109.0245561,5.234925899,331.6134428,50.96861603
24,21646.23656,2989.480878,107787103.4,132052727.8,65516.28902,27988.74815,13.93887892,63.77879156
4,41388.25424,52902.93673,139000000,143688963.1,101.4305125,47.28814563,995.2287356,86.96396774
0,36330,6397.693791,25383848.91,536304062.9,77.30665306,264107.5708,10335.21959,168.0021037
5,22336,21049.97834,536302724.9,64736290.73,183.4412917,814.7146978,5296.106933,23270.78008
18,13344.67323,22420.18612,126343.4304,4815491.378,254.5614059,331.6103383,28.6931588,8.853788464
3,41750.45533,141.0199609,234081673.1,6436423.257,25160.99145,1084.529314,1.703015935,0.881356034
32,10119.0526,30753.08164,175524836.6,30111530.07,16025.49071,4.426387315,22.67455781,784.7816964
1,23610.88266,23723.9228,17077816.7,31586970.1,153.7886002,158.5784006,46.83258603,615.0725396
14,12169.76199,29083.19724,18508531.46,5389812.304,12648.53932,136974.0243,11.52816534,576.7569662
2,9402.39453,4968.05355,127000000,29288130.27,61.14488921,44.11559423,104.4656532,329.9752493
7,37294,70658.69554,12144469.73,494746.4892,62036.57835,7109.006671,641.4160564,11701.3969
6,1402.669311,11615.60014,114295218.5,34636338.84,4677.087145,9505.720789,320.0536578,396.3451508
22,20723,28992.87805,2.9E+14,1186127314,255.0079862,43979.45616,1125.797611,193.6138929
12,42123,22572.62626,11698687.23,84671439.09,20517.73465,8817.311368,9631.312633,501.7033986
10,41623.06679,28020.2998,101150221.7,6556361.402,274.9932735,28.26684574,36.84458758,813.5541211
16,86083.80144,40834.51683,66899626.25,27922210.77,56.04063401,125.445135,628.3968837,843.9003996
3,19279.67118,45295.60947,12641289.26,2647946.945,29.11445062,28.67803764,453.1120414,341.634141
5,15604.19244,21784.2706,64487354.16,330241621.5,92.56787954,81.95572864,1215.165242,219.9400699
4,4422.245182,302.8890635,1538685.497,4213066.972,146.916128,172.3325203,1428.593467,126.5406549
6,41477.55117,39850.72101,301919023.4,340123522.7,3785.93448,4435.432979,12.13742262,1288.607954
6,1431.049227,485.9851864,1.46E+14,38744216.14,1175.696774,6727.580241,3007.702383,77.487414
32,41388.25424,11010.43762,179194878.7,4385998.626,10145.30727,10949.60503,12.31319253,0.223589234
30,2442.121884,81836.15652,142571737,2787522.158,40744.26481,2477.541466,624.4326583,2.421586656
4,86246.70352,38705.19443,141313262,125862365.2,154.6138066,18.95094758,134.767244,923.0549615
1,86325.54859,10385.91649,303000000,59036540.58,365.6010879,85911.50396,31.08957947,7.550272286
3,18839,51416.42401,62441316.91,4247888.626,243.9956488,4178.067174,262.7905921,3181.43821
0,2329.13292,151.8808713,31651870.07,258221716.5,283.7196397,23883.96164,7.866871866,3.061397602
